course_id,opening_date,closing_date,temps_min,temps_jours
agrocampusouest/40001S03/session03,2016-11-22 14:31:58,2017-05-09 08:40:24,241568,168
CNAM/01002/Trimestre_1_2014,2014-02-03 07:55:29,2014-04-29 06:12:34,122297,85
CNAM/01002S04/session04,2017-02-17 09:17:45,2017-06-19 21:01:13,176383,122
CNAM/01020S02/session02,2017-01-24 17:01:49,2017-04-12 13:33:41,112111,78
CNAM/01021/session01,2016-04-25 08:02:55,2016-07-05 09:18:04,102315,71
CNAM/01023/session01,2017-01-09 12:07:44,2017-04-11 21:54:53,133067,92
CoR/114001/session01,2016-10-31 11:45:08,2017-07-25 13:47:02,384601,267
course-v1:AdelaideX+Project101x+2T2016,2016-06-09 00:14:52,2017-10-09 22:26:09,702611,487
course-v1:amu+38001+session02,2017-11-13 11:47:53,2018-01-12 14:26:55,86559,60
course-v1:amu+38008+session01,2017-10-03 12:39:10,2017-12-07 16:10:54,93811,65
course-v1:BerkeleyX+EE40LX+2T2015,2015-07-06 01:13:28,2017-04-20 07:54:04,942160,654
course-v1:centrepompidou+167002+session01,2021-01-15 11:05:03,2021-07-08 12:50:19,250665,174
course-v1:CNAM+01001+session05,2018-04-16 08:29:17,2018-07-11 22:06:27,124657,86
course-v1:CNAM+01002+session05,2018-02-15 09:33:43,2018-07-06 12:41:52,203228,141
course-v1:CNAM+01007+session02,2017-10-16 11:50:48,2018-04-03 19:14:28,243803,169
course-v1:CNAM+01008+session04,2018-04-30 09:53:41,2018-06-27 12:48:55,83695,58
course-v1:CNAM+01021+session02,2017-05-15 08:17:27,2017-08-09 13:35:30,124158,86
course-v1:CNAM+01021+session03,2018-05-22 08:10:36,2018-09-23 16:55:35,179084,124
course-v1:CNAM+01022+session02,2017-10-30 10:54:12,2018-01-15 17:00:00,111245,77
course-v1:CNAM+01023+session02,2018-03-05 08:50:44,2018-05-07 19:10:48,91340,63
course-v1:CNAM+01024+session02,2017-09-25 10:35:32,2018-01-04 07:58:26,145282,101
course-v1:CNAM+01024+session03,2018-09-17 08:44:28,2018-09-26 14:22:00,13297,9
course-v1:CNAM+01027+session01,2018-03-14 21:18:19,2018-06-25 15:06:07,147947,103
course-v1:CNAM+01028+session01,2018-03-26 10:59:46,2018-07-11 07:47:52,153888,107
course-v1:CNAM+01029+session01,2018-03-05 09:17:12,2018-07-06 14:24:16,177427,123
course-v1:CNAM+01030+session01,2018-03-08 09:16:12,2018-05-18 14:07:07,102530,71
course-v1:CNAM+01031+session01,2018-03-12 08:44:36,2018-07-15 09:19:01,180034,125
course-v1:CNAM+01032+session01,2018-04-23 08:18:20,2018-07-11 14:30:43,114132,79
course-v1:CNAM+01034+session01,2018-03-23 10:06:50,2018-07-30 16:13:07,186126,129
course-v1:CNAM+01035+session01,2018-03-26 09:21:48,2018-07-08 15:16:22,150114,104
course-v1:CNAM+01036+session01,2018-05-22 15:37:05,2018-07-02 13:16:31,58899,41
course-v1:CNFPT+87001+session03,2017-04-03 16:51:22,2017-05-17 07:10:43,62779,44
course-v1:CNFPT+87006+session02,2017-10-02 13:54:35,2017-10-31 00:28:34,40953,29
