username,city,country,gender,year_of_birth,level_of_education,body,polarity,subjectivity,course_id,Certificate_Delivered
Djuz87,Limoges,FR,m,1968,hs,"Bonjour à tous
Je m'appelle Jean-Louis
",0.0,0.0,MinesTelecom/04017/session01,Y
wassim_ibrahim,Sousse,TN,m,1993,other,"Bonjour,
Je suis Wassim IBRAHIM étudiant en 2 éme année cycle ingénieur informatique de spécialité génie logiciel à ISSATSO (Institut Supérieur des Sciences Appliquées et de Technologie de Sousse(Tunisie) ).
J'espére qu'on passe un bon MOOC ensemble et qu'on apprends des nouvelles connaissances .
Bon travail à tous .",0.0,0.0,MinesTelecom/04017/session01,Y
wassim_ibrahim,Sousse,TN,m,1993,other,"Bonjour,
Je suis Wassim IBRAHIM étudiant en 2 éme année cycle ingénieur informatique de spécialité génie logiciel à ISSATSO (Institut Supérieur des Sciences Appliquées et de Technologie de Sousse(Tunisie) ).
J'espére qu'on passe un bon MOOC ensemble et qu'on apprends des nouvelles connaissances .
Bon travail à tous .",0.0,0.0,MinesTelecom/04017/session01,N
Bouradou,Lyon,FR,m,1956,m,"Bonjour à tous,
je commence le Mooc sur Arduino.
Je suis pré-retraité (59 ans).
J'ai eu une première activité professionnelle dans l'armée (spécialiste avionique sur hélicos ALAT) puis j'ai quitté l'armée pour faire une carrière civile de 30 ans environ dans l'informatique (développement Cobol et ASM, ingénieur système sur IBM, spécialiste SAP BC en fin de carrière).
Je suis intéressé par l'informatique (programmation, WEB, Raspberry PI) et par l'électronique (Arduino).
Je suis également passionné de Simulation de vol: FSX, cockpit, liner B737-800.
J'habite à Lyon 4ème (Croix-Rousse).
Je ne suis pas contre des échanges en direct par MP et/ou contact si passions communes.
Mes amitiés à tout le monde.",0.1,0.4,MinesTelecom/04017/session01,Y
klambin,La Roche Sur Yon,FR,f,1972,b,"Bonjour, je suis Karine Lambin, enseignante en informatique en lycée agricole.",0.0,0.0,MinesTelecom/04017/session01,Y
doe1980,beaune,FR,m,1980,m,"Bonjour Damien de côte d'or 35ans, 
Pas de connaissance en arduino mais j'aime bien bidouiller
inscrit récemment dans un fablab
J'aimerais développer mes connaissances grâce à ce mooc",0.0,0.0,MinesTelecom/04017/session01,Y
Tchae,None,AE,m,1968,m,"Bonjour, 

Je m'appelle Théo, enseignant de mathématiques en Lycée (Émirats Arabes Unis), j'essaye d’intégrer la plateforme Arduino au cours de specialite ISN de terminale S. 

Pour l'instant mon plus gros problème avec ce MOOC sont les pop ups incessants me demandant identifiant et mot de passe (because ""Restricted"") et le fait que mon identifiant et mon mot de passe FUN ne sont pas acceptes.

Est ce que qq'un d'autre a le même problème ou une solution ?

D'avance merci.",0.15,0.433333,MinesTelecom/04017/session01,Y
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour,

Je m'appelle Jérôme Baton, je suis développeur java backend / Android.

Je connais déjà Arduino mais j'ai le sentiment de ne pas assez maîtriser le sujet, je suis ici pour apprendre le ""côté électronique"". 
Comment décider si/quelle résistance ajouter.
Comment vérifier un circuit.
Avoir de la méthode

Et évidemment créer mes propres montages.

J'ai créé un atelier pour Devoxx4Kids qui se trouve à l'adresse suivante
http://www.devoxx4kids.org/materials/workshops/internet-of-things/arduino/   (c'est le 5e)
ou
https://github.com/devoxx4kids/materials/tree/master/workshops/InternetOfThings/arduino/workshop5

J'ai déjà des Arduino et des raspberry pi 

Mon CP actuel : 78150",0.0,0.0,MinesTelecom/04017/session01,Y
alwad,LE CHESNAY,FR,m,1974,m,"Bonjour,

Je m'appelle Jérôme Baton, je suis développeur java backend / Android.

Je connais déjà Arduino mais j'ai le sentiment de ne pas assez maîtriser le sujet, je suis ici pour apprendre le ""côté électronique"". 
Comment décider si/quelle résistance ajouter.
Comment vérifier un circuit.
Avoir de la méthode

Et évidemment créer mes propres montages.

J'ai créé un atelier pour Devoxx4Kids qui se trouve à l'adresse suivante
http://www.devoxx4kids.org/materials/workshops/internet-of-things/arduino/   (c'est le 5e)
ou
https://github.com/devoxx4kids/materials/tree/master/workshops/InternetOfThings/arduino/workshop5

J'ai déjà des Arduino et des raspberry pi 

Mon CP actuel : 78150",0.0,0.0,MinesTelecom/04017/session01,N
Fun_Nico,BRON,FR,m,1980,m,"Bonjour,
Je m'appelle Nicolas et je suis chef de projet informatique dans l'industrie automobile. Mes connaissances en électronique sont assez basique.",0.0,0.0,MinesTelecom/04017/session01,Y
