username,user_id,city,country,gender,year_of_birth,CSP,goals,level_of_education
__________jade,4811854,,,,,,,
___111,5345455,,,,,,,
__Baptiste__,,,,,,,,
__Ben__,18575928,,,,,,,
__Eric,,Cabriès,FR,,None,"Cadre, sup",,
__florent__,,,,,,,,
__frederic__,,,,,,,,
__Lowrent__,,,,,,,,
__Nicolas__,,,,,,,,
_-Mathieu-_,4698801,,,,,,,
_-Uliana-_,12634904,,,,,,,
_42_,6486685,,,,,,,
_AD_,5380804,,,,,,,
_Al_,,Saint Denis,RE,m,1981,,"Bonjour, 
Je souhaite m'inscrire à FUN afin de pouvoir améliorer ma technique d’apprentissage de la langue anglaise avec votre aide.
Ayant des lacunes en anglais je souhaite pouvoir approfondir mes connaissances.",b
_Alain_,,,,,,,,
_Alia,13165731,,,,,,,
_Am_,,,,,,,,
_Amine,,,,,,,,
_armand_,,Limoges,FR,m,1998,Etudiant,,jhs
_arno_,,None,,m,1974,,,jhs
_Aurelie_,,,,,,,,
_bea_,4417245,,,,,,,
_benedicte_,,,,,,,,
_BertrandD,,Liège,BE,o,1987,,Apprendre & bidouiller,b
_Bhavishya_,21054224,,,,,,,
_Bintou,,,,,,,,
_bnaude,,,,,,,,
_Bob_,,None,,m,1961,,,hs
_Briana_,11112683,,,,,,,
_Carole_,,,,,,,,
_cecile,,,,,,,,
_Cecile_,,,,,,,,
_Chris,,,,,,,,
_Clement_,,,,,,,,
_CLH,,Paris,FR,f,1994,,,m
_Crystal,6949304,,,,,,,
_Cyrille_,,,,,,,,
_Douglas_,21557375,,,,,,,
_edh_,5284738,,,,,,,
_Eric_,4904413,,,,,,,
_Etienne_,,,,,,,,
_Fabien_,,Ceyras,FR,m,1991,,,m
_fred,5842544,,,,,,,
_FRIME,11094565,,,,,,,
_G_B_,,,,,,,,
_gabriel_,493476,,,,,,,
_Gargantua_,,,,,,,,
_geysse,,,,,,,,
_GooRoo,4237455,,,,,,,
_greek_god_,20983996,,,,,,,
_hpath,,,,,,,,
_Izaiah_,5359633,,,,,,,
_JER_,,,,,,,,
_jeremy_,,None,,m,1989,,,m
_Jerome_,4702797,,,,,,,
